label,ticker,period_end,revenue,sgna,sgna_to_revenue_pct
2024 Q3,BABA,2024-09-30,236503000000,42248000000,17.86
2024 Q4,BABA,2024-12-31,280154000000,53526000000,19.11
2025 Q1,BABA,2025-03-31,236454000000,46510000000,19.67
2025 Q2,BABA,2025-06-30,247652000000,60576000000,24.46
2025 Q3,BABA,2025-09-30,247795000000,73876000000,29.81
2024 Q3,PDD,2024-09-30,99354400000,32289400000,32.5
2024 Q4,PDD,2024-12-31,110610000000,33442300000,30.23
2025 Q1,PDD,2025-03-31,95672000000,35062000000,36.65
2025 Q2,PDD,2025-06-30,103985000000,28741700000,27.64
2025 Q3,PDD,2025-09-30,108277000000,32078300000,29.63
2024 Q3,JD,2024-09-30,260387000000,28603000000,10.98
2024 Q4,JD,2024-12-31,346986000000,39408000000,11.36
2025 Q1,JD,2025-03-31,301082000000,32694000000,10.86
2025 Q2,JD,2025-06-30,356660000000,52424000000,14.7
2025 Q3,JD,2025-09-30,299059000000,46042000000,15.4
2024 Q3,Meituan,2024-09-30,93577319000,20750923000,22.18
2024 Q4,Meituan,2024-12-31,88487296000,20239511000,22.87
2025 Q1,Meituan,2025-03-31,86206145000,17826052000,20.68
2025 Q2,Meituan,2025-06-30,91840480000,25197863000,27.44
2025 Q3,Meituan,2025-09-30,95488113000,37224630000,38.98
