fiscal_year,report_date,revenue_usd_millions,cost_of_revenue_usd_millions,gross_profit_usd_millions,gross_margin_pct
2016,2016-08-31,12399.0,-9894.0,2505.0,20.20324219695137
2017,2017-08-31,20322.0,-11886.0,8436.0,41.51166223796871
2018,2018-08-31,30391.0,-12500.0,17891.0,58.8694021256293
2019,2019-08-31,23406.0,-12704.0,10702.0,45.723318807143464
2020,2020-08-31,21435.0,-14883.0,6552.0,30.566829951014697
2021,2021-08-31,27705.0,-17282.0,10423.0,37.62136798411839
2022,2022-08-31,30758.0,-16860.0,13898.0,45.184992522270626
2023,2023-08-31,15540.0,-16956.0,-1416.0,-9.111969111969112
2024,2024-08-31,25111.0,-19498.0,5613.0,22.352753773246782
2025,2025-08-31,37378.0,-22505.0,14873.0,39.79078602386431
