calendar_quarter,fiscal_period,fiscal_year,report_date,revenue_usd_millions,cost_of_revenue_usd_millions,gross_profit_usd_millions,gross_margin_pct,source
2016 Q3,Q4,2016,2016-08-31,3217.0,-2638.0,579.0,17.998134908299658,http://www.sec.gov/Archives/edgar/data/723125/000072312518000092/0000723125-18-000092-index.htm
2016 Q4,Q1,2017,2016-11-30,3970.0,-2959.0,1011.0,25.465994962216627,http://www.sec.gov/Archives/edgar/data/723125/000072312517000166/0000723125-17-000166-index.htm
2017 Q1,Q2,2017,2017-02-28,4648.0,-2944.0,1704.0,36.660929432013766,http://www.sec.gov/Archives/edgar/data/723125/000072312517000037/0000723125-17-000037-index.htm
2017 Q2,Q3,2017,2017-05-31,5566.0,-2957.0,2609.0,46.87387711103126,http://www.sec.gov/Archives/edgar/data/723125/000072312518000065/0000723125-18-000065-index.htm
2017 Q3,Q4,2017,2017-08-31,6138.0,-3026.0,3112.0,50.70055392636038,http://www.sec.gov/Archives/edgar/data/723125/000072312518000092/0000723125-18-000092-index.htm
2017 Q4,Q1,2018,2017-11-30,6803.0,-3056.0,3747.0,55.078641775687196,http://www.sec.gov/Archives/edgar/data/723125/000072312517000166/0000723125-17-000166-index.htm
2018 Q1,Q2,2018,2018-02-28,7351.0,-3081.0,4270.0,58.087335056454904,http://www.sec.gov/Archives/edgar/data/723125/000072312518000036/0000723125-18-000036-index.htm
2018 Q2,Q3,2018,2018-05-31,7797.0,-3074.0,4723.0,60.57457996665384,http://www.sec.gov/Archives/edgar/data/723125/000072312518000065/0000723125-18-000065-index.htm
2018 Q3,Q4,2018,2018-08-31,8440.0,-3289.0,5151.0,61.030805687203795,http://www.sec.gov/Archives/edgar/data/723125/000072312518000065/0000723125-18-000065-index.htm
2018 Q4,Q1,2019,2018-11-30,7913.0,-3298.0,4615.0,58.321749020599015,https://www.sec.gov/Archives/edgar/data/723125/000072312518000156/0000723125-18-000156-index.htm
2019 Q1,Q2,2019,2019-02-28,5835.0,-2971.0,2864.0,49.083119108826054,https://www.sec.gov/Archives/edgar/data/723125/000072312519000014/0000723125-19-000014-index.htm
2019 Q2,Q3,2019,2019-05-31,4788.0,-2960.0,1828.0,38.17878028404344,https://www.sec.gov/Archives/edgar/data/723125/000072312519000035/0000723125-19-000035-index.htm
2019 Q3,Q4,2019,2019-08-31,4870.0,-3475.0,1395.0,28.64476386036961,https://www.sec.gov/Archives/edgar/data/723125/000072312519000035/0000723125-19-000035-index.htm
2019 Q4,Q1,2020,2019-11-30,5144.0,-3778.0,1366.0,26.5552099533437,https://www.sec.gov/Archives/edgar/data/723125/000072312521000012/0000723125-21-000012-index.htm
2020 Q1,Q2,2020,2020-02-29,4797.0,-3442.0,1355.0,28.246820929747756,https://www.sec.gov/Archives/edgar/data/723125/000072312521000032/0000723125-21-000032-index.htm
2020 Q2,Q3,2020,2020-05-31,5438.0,-3675.0,1763.0,32.42000735564546,https://www.sec.gov/Archives/edgar/data/723125/000072312521000052/0000723125-21-000052-index.htm
2020 Q3,Q4,2020,2020-08-31,6056.0,-3988.0,2068.0,34.147952443857335,https://www.sec.gov/Archives/edgar/data/723125/000072312521000052/0000723125-21-000052-index.htm
2020 Q4,Q1,2021,2020-11-30,5773.0,-4037.0,1736.0,30.071020266759053,https://www.sec.gov/Archives/edgar/data/723125/000072312522000004/0000723125-22-000004-index.htm
2021 Q1,Q2,2021,2021-02-28,6236.0,-4587.0,1649.0,26.443232841565106,https://www.sec.gov/Archives/edgar/data/723125/000072312522000016/0000723125-22-000016-index.htm
2021 Q2,Q3,2021,2021-05-31,7422.0,-4296.0,3126.0,42.11802748585287,https://www.sec.gov/Archives/edgar/data/723125/000072312522000036/0000723125-22-000036-index.htm
2021 Q3,Q4,2021,2021-08-31,8274.0,-4362.0,3912.0,47.2806381435823,https://www.sec.gov/Archives/edgar/data/723125/000072312522000036/0000723125-22-000036-index.htm
2021 Q4,Q1,2022,2021-11-30,7687.0,-4122.0,3565.0,46.37700013008976,https://www.sec.gov/Archives/edgar/data/723125/000072312522000072/0000723125-22-000072-index.htm
2022 Q1,Q2,2022,2022-02-28,7786.0,-4110.0,3676.0,47.21294631389674,https://www.sec.gov/Archives/edgar/data/723125/000072312523000022/0000723125-23-000022-index.htm
2022 Q2,Q3,2022,2022-05-31,8642.0,-4607.0,4035.0,46.69058088405462,https://www.sec.gov/Archives/edgar/data/723125/000072312523000041/0000723125-23-000041-index.htm
2022 Q3,Q4,2022,2022-08-31,6643.0,-4021.0,2622.0,39.47011892217372,https://www.sec.gov/Archives/edgar/data/723125/000072312523000041/0000723125-23-000041-index.htm
2022 Q4,Q1,2023,2022-11-30,4085.0,-3192.0,893.0,21.86046511627907,https://www.sec.gov/Archives/edgar/data/723125/000072312523000077/0000723125-23-000077-index.htm
2023 Q1,Q2,2023,2023-02-28,3693.0,-4899.0,-1206.0,-32.65637692932575,https://www.sec.gov/Archives/edgar/data/723125/000072312524000007/0000723125-24-000007-index.htm
2023 Q2,Q3,2023,2023-05-31,3752.0,-4420.0,-668.0,-17.803837953091683,https://www.sec.gov/Archives/edgar/data/723125/000072312524000019/0000723125-24-000019-index.htm
2023 Q3,Q4,2023,2023-08-31,4010.0,-4445.0,-435.0,-10.847880299251871,https://www.sec.gov/Archives/edgar/data/723125/000072312524000019/0000723125-24-000019-index.htm
2023 Q4,Q1,2024,2023-11-30,4726.0,-4761.0,-35.0,-0.7405840033855269,https://www.sec.gov/Archives/edgar/data/723125/000072312524000047/0000723125-24-000047-index.htm
2024 Q1,Q2,2024,2024-02-29,5824.0,-4745.0,1079.0,18.526785714285715,https://www.sec.gov/Archives/edgar/data/723125/000072312525000009/0000723125-25-000009-index.htm
2024 Q2,Q3,2024,2024-05-31,6811.0,-4979.0,1832.0,26.89766554103656,https://www.sec.gov/Archives/edgar/data/723125/000072312525000021/0000723125-25-000021-index.htm
2024 Q3,Q4,2024,2024-08-31,7750.0,-5013.0,2737.0,35.31612903225806,https://www.sec.gov/Archives/edgar/data/723125/000072312525000021/0000723125-25-000021-index.htm
2024 Q4,Q1,2025,2024-11-30,8709.0,-5361.0,3348.0,38.442990010334135,https://www.sec.gov/Archives/edgar/data/723125/000072312525000046/0000723125-25-000046-index.htm
2025 Q1,Q2,2025,2025-02-28,8053.0,-5090.0,2963.0,36.793741462808896,https://www.sec.gov/Archives/edgar/data/723125/000072312526000006/0000723125-26-000006-index.htm
2025 Q2,Q3,2025,2025-05-31,9301.0,-5793.0,3508.0,37.71637458337813,https://www.sec.gov/Archives/edgar/data/723125/000072312526000015/0000723125-26-000015-index.htm
2025 Q3,Q4,2025,2025-08-31,11315.0,-6261.0,5054.0,44.666372072470175,https://www.sec.gov/Archives/edgar/data/723125/000072312526000015/0000723125-26-000015-index.htm
2025 Q4,Q1,2026,2025-11-30,13643.0,-5997.0,7646.0,56.043392215788316,https://www.sec.gov/Archives/edgar/data/723125/000072312525000046/0000723125-25-000046-index.htm
2026 Q1,Q2,2026,2026-02-28,23860.0,-6105.0,17755.0,74.41324392288348,https://www.sec.gov/Archives/edgar/data/723125/000072312526000006/0000723125-26-000006-index.htm
2026 Q2,Q3,2026,2026-05-31,41456.0,-6400.0,35056.0,84.56194519490545,https://www.sec.gov/Archives/edgar/data/723125/000072312526000015/0000723125-26-000015-index.htm
