calendar_quarter,revenue_krw_millions,gross_profit_krw_millions,gross_margin_pct,source
2016 Q3,4243645.000000,1451357.000000,34.200717,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2016 Q4,5357687.000000,2396640.000000,44.732736,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2017 Q1,6289517.000000,3297680.000000,52.431371,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2017 Q2,6692278.000000,3833474.000000,57.282050,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2017 Q3,8100085.000000,4701928.000000,58.047885,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2017 Q4,9027554.000000,5574509.000000,61.749938,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2018 Q1,8719690.000000,5329461.000000,61.119845,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2018 Q2,10370507.000000,6608264.000000,63.721706,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2018 Q3,11416788.000000,7545164.000000,66.088325,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2018 Q4,9938081.000000,5781339.000000,58.173595,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2019 Q1,6772655.000000,2673185.000000,39.470267,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2019 Q2,6452201.000000,2016812.000000,31.257737,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2019 Q3,6838766.000000,1815639.000000,26.549220,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2019 Q4,6927111.000000,1666283.000000,24.054516,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2020 Q1,7198892.000000,2187519.000000,30.386885,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2020 Q2,8606534.000000,3346543.000000,38.883748,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2020 Q3,8128767.000000,2845473.000000,35.004977,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2020 Q4,7966225.000000,2431094.000000,30.517516,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2021 Q1,8494188.000000,2728548.000000,32.122529,"Alpha Spread TTM revenue/gross profit back-calculated to single quarter using StockAnalysis direct quarterly anchors"
2021 Q2,10321671.000000,4339444.000000,42.042069,"StockAnalysis direct quarterly income statement"
2021 Q3,11805324.000000,5831054.000000,49.393426,"StockAnalysis direct quarterly income statement"
2021 Q4,12376609.000000,6053146.000000,48.907952,"StockAnalysis direct quarterly income statement"
2022 Q1,12155653.000000,5401196.000000,44.433615,"StockAnalysis direct quarterly income statement"
2022 Q2,13811001.000000,6337661.000000,45.888499,"StockAnalysis direct quarterly income statement"
2022 Q3,10982883.000000,3865580.000000,35.196405,"StockAnalysis direct quarterly income statement"
2022 Q4,7672031.000000,23418.000000,0.305239,"StockAnalysis direct quarterly income statement"
2023 Q1,5088111.000000,-1645299.000000,-32.336146,"StockAnalysis direct quarterly income statement"
2023 Q2,7305932.000000,-1177828.000000,-16.121530,"StockAnalysis direct quarterly income statement"
2023 Q3,9066171.000000,64126.000000,0.707311,"StockAnalysis direct quarterly income statement"
2023 Q4,11305505.000000,2225553.000000,19.685569,"StockAnalysis direct quarterly income statement"
2024 Q1,12429598.000000,4794645.000000,38.574417,"StockAnalysis direct quarterly income statement"
2024 Q2,16423258.000000,7496464.000000,45.645413,"StockAnalysis direct quarterly income statement"
2024 Q3,17573069.000000,9171384.000000,52.189996,"StockAnalysis direct quarterly income statement"
2024 Q4,19767035.000000,10365653.000000,52.439089,"StockAnalysis direct quarterly income statement"
2025 Q1,17639141.000000,10101991.000000,57.270312,"StockAnalysis direct quarterly income statement"
2025 Q2,22231952.000000,11983324.000000,53.901358,"StockAnalysis direct quarterly income statement"
2025 Q3,24448929.000000,14029100.000000,57.381246,"StockAnalysis direct quarterly income statement"
2025 Q4,32826653.000000,22576375.000000,68.774526,"StockAnalysis direct quarterly income statement"
2026 Q1,52576287.000000,41679414.000000,79.274168,"StockAnalysis direct quarterly income statement"
